cand_id,company,start,end
21,Apple,3/1/12,current
21,Apple,1/1/10,3/1/12
21,Verical Inc,9/1/08,1/1/10
21,Department of Motor Vehicles, CA,4/1/08,9/1/08
21,Sesame Street,10/1/07,4/1/08
21,Palm,5/1/07,9/1/07
21,Nike,2/1/06,5/1/07
21,Merrill Lynch,7/1/03,1/1/05
22,Palm, Inc. Corporate Headquarters,5/1/07,
22,Nike World,2/1/06,4/1/07
22,Merrill Lynch,1/1/05,1/1/06
22,Resort Quest,3/1/03,12/1/04
22,Resort Quest,3/1/01,2003
22,Syntel Inc,5/1/99,2/1/00
22,ZenSoftech Private Ltd,2/1/98,4/1/99
62,Nitra,7/1/07,9/1/07
62,Syxon GmbH./Xerox ZÌ_rich Nitra,7/1/07,9/1/07
62,Syxon GmbH./Xerox ZÌ_rich EU,9/1/06,11/1/06
62,Syxon GmbH./Xerox ZÌ_rich PHP/JavaScript,5/1/05,8/1/06
62,Syxon GmbH./Xerox ZÌ_rich,3/1/04,9/1/07
62,Nitra,7/1/03,9/1/03
62,Nitra,8/1/01,9/1/01
62,ELI Agency Nitra, Slovakia,3/1/01,7/1/01
90,,2005,
90,BioTech/Pharm/Medical Device, Bay Area CA,2002,2005
90,Telecom Software,2000,2002
90,Telecom Software,2000,2000
90,Telecom Software,1999,2000
90,Direct Hire Recruitment,1998,1999
90,Direct Hire Recruitment,1997,1998
90,B2B Financial,1996,1997
136,Cork, Munster,5/1/06,
136,Avaya,2000,2003
136,Munster,1/1/05,4/1/06
136,Core Computer Consultants,9/1/04,12/1/04
136,Qcl technologies,9/1/03,9/1/04
136,Atec Computers,4/1/03,6/1/03
136,Avaya Mercy Hospital,3/1/01,8/1/01
174,,,
174,,6/1/05,
174,AGS New Media,7/1/00,10/1/01
180,Alcatel-Lucent,,
180,Alcatel-Lucent,6/1/05,
180,Club-400,2/1/04,6/1/05
180,Club-400,2/1/03,9/1/03
180,Club-400,9/1/00,10/1/02
221,,,
221,Universal-Torg,,
221,,11/1/50,
221,,8/1/04,
221,Universal-Torg,3/1/04,8/1/04
222,,,
222,,11/1/50,
222,Non-Profit,7/1/07,
222,Non-Profit,3/1/07,
222,Non-Profit,11/1/50,
938,,4/1/07,
938,Norman Technologies,9/1/06,1/1/07
938,Wachovia Corporation,8/1/05,8/1/06
938,Avon Products Inc.,4/1/04,2/1/05
938,Resources Connection/KornFerry Futurestep,12/1/02,3/1/04
938,Exhale Enterprises Incorporated,12/1/01,7/1/02
938,Viant Corporation,12/1/99,9/1/01
938,San Francisco, Charlotte, Tampa, Jacksonville, CA,6/1/93,5/1/99
940,,10/1/01,
940,Harper Moderating/Research,11/1/00,5/1/01
940,Initial Staffing,3/1/99,11/1/00
940,Self Employed Medical,1/1/97,11/1/00
1654,,2007,
1654,MULTIPLE INDUSTRIES,2002,2007
1654,GENERAL DYNAMICS,2000,2002
1654,FASSER,1996,2000
2044,,9/1/05,
2044,Employer Resources International, Inc,2/1/05,9/1/05
2044,AmSouth Bank,7/1/03,2/1/05
2044,SunTrust Bank,3/1/98,7/1/03
2044,SunTrust Bank SunTrust Bank,4/1/01,11/1/02
2044,SunTrust Bank,,
2044,SunTrust Bank,3/1/98,4/1/01
2172,Confidential,3/1/04,Present
2172,Confidential,3/1/03,3/1/04
2172,Capitol LLC,1/1/02,12/1/02
2172,Capitol LLC,8/1/01,1/1/02
2348,CONFIDENTIAL,5/1/06,Present
2348,Guidant Sales Corporation,3/1/05,5/1/06
2348,Eli Lilly &amp; Company,7/1/01,10/1/04
2348,London Witte &amp; Company,7/1/00,7/1/01
2348,The Ritz-Carlton,12/1/99,4/1/00
2868,,9/1/05,Present
2868,Herrero Contractors, Inc,10/1/04,9/1/05
2868,Alameda,1/1/04,10/1/04
2868,Northrop Grumman IT,12/1/02,7/1/03
2868,BCM Controls,6/1/01,9/1/02
2868,NETIC, Inc,11/1/99,6/1/01
2868,Purchasing,9/1/97,6/1/98
2868,Oikos Vision Care,3/1/96,6/1/97
3056,,,
3056,,,
3056,,,
3056,,,
3056,,,
3056,,,
3056,,,
3056,,,
3238,,,
3238,,,
3238,,,
3238,,,
3638,,1/1/05,10/1/07
3638,,9/1/03,8/1/04
3638,,8/1/98,2/1/02
3638,PSF,6/1/94,7/1/98
3660,,8/1/07,Present
3660,Ultimate Staffing Services,8/1/06,8/1/07
4162,Confidential,9/1/07,Present
4162,ConfidentialKforce Scientific Staffing,7/1/05,9/1/07
4162,Quidel Corporation,7/1/02,7/1/05
4624,Confidential,5/1/10,now
4624,Abbott Diabetes Care,3/1/10,5/1/10
4624,Bayer, Berkeley, CA,2009,2009
4624,Zimmer,2009,2009
